K,a,b,c,d,seed,obj
8,0.032890540167673336,10000000.0,0.00044727375230632724,0.01,0,-211963482.98643216
8,0.032890540167673336,10000000.0,0.00044727375230632724,0.1,0,-226270486.25532186
8,0.032890540167673336,10000000.0,0.00044727375230632724,1.0,0,-269782530.52796185
8,0.032890540167673336,10000000.0,0.00044727375230632724,10.0,0,-369409790.9143443
8,0.032890540167673336,10000000.0,0.00044727375230632724,100.0,0,-505540053.30215186
8,0.032890540167673336,10000000.0,0.00044727375230632724,1000.0,0,-648918250.6890336
8,0.032890540167673336,10000000.0,0.00044727375230632724,10000.0,0,-793104723.4479946
8,0.032890540167673336,10000000.0,0.00044727375230632724,100000.0,0,-937387801.1665522
8,0.032890540167673336,10000000.0,0.00044727375230632724,1000000.0,0,-1081695000.4375465
8,0.032890540167673336,10000000.0,0.00044727375230632724,10000000.0,0,-1226037008.3399022
8,0.032890540167673336,10000000.0,0.00044727375230632724,100000000.0,0,-1370325674.3089082
8,0.032890540167673336,10000000.0,0.00044727375230632724,1000000000.0,0,-1514635996.918825
8,0.032890540167673336,100000000.0,0.00044727375230632724,1e-09,0,-206066218.3699975
8,0.032890540167673336,100000000.0,0.00044727375230632724,1e-08,0,-206066484.644405
8,0.032890540167673336,100000000.0,0.00044727375230632724,1e-07,0,-206069144.7845186
8,0.032890540167673336,100000000.0,0.00044727375230632724,1e-06,0,-206091882.5565977
8,0.032890540167673336,100000000.0,0.00044727375230632724,1e-05,0,-206320739.45282975
8,0.032890540167673336,100000000.0,0.00044727375230632724,0.0001,0,-207550951.06407386
8,0.032890540167673336,100000000.0,0.00044727375230632724,0.001,0,-211965747.76314378
8,0.032890540167673336,100000000.0,0.00044727375230632724,0.01,0,-226273245.88576862
8,0.032890540167673336,100000000.0,0.00044727375230632724,0.1,0,-269783268.3589225
8,0.032890540167673336,100000000.0,0.00044727375230632724,1.0,0,-369410434.5860103
8,0.032890540167673336,100000000.0,0.00044727375230632724,10.0,0,-505542072.1085863
8,0.032890540167673336,100000000.0,0.00044727375230632724,100.0,0,-648917827.1881725
8,0.032890540167673336,100000000.0,0.00044727375230632724,1000.0,0,-793102151.5217297
